Keyword,Category
accesstocli,Technology
agement,Business
agrícolas,Agriculture
aguascalientes,Country
ainifap,Other
argenderecha,Other
article,Education
avalosc,Other
bajacalifornia,Country
bda,Technology
bigclimategeospatialdata,Science
binifap,Other
campoexperimental,Other
characterize,Health
chdws,Other
cinifap,Other
ciudadobreg,City
contextofsustainability,Environment
day,Weather
dbms,Technology
deinvestigaciones,Education
delcanalsacramento,Country
desert,Geography
desertisadistinctiveandecologically,Environment
desertwebservice,Technology
dinifap,Other
diverseregionthatisparticularly,Health
durango,Country
eborlaug,Science
einifap,Other
ensenada,Country
etal,Technology
forestales,Agriculture
greenstone,Energy
hasbeendeveloped,Business
info,Technology
instituto,Education
internetconnection,Technology
intheresearchcommunity,Education
investigation,Health
keywords,Science
largevolumesof,Technology
lle,Other
mexico,Country
modelsanddecisionsupporttech,Technology
nacional,Business
nagingandadministering,Education
norman,Other
ogsa,Technology
omezpalacio,Other
